category,type,mean_price,mean_rating,mean_reviews
ART_AND_DESIGN,Free,0.0,4.337931034482758,23230.114754098362
ART_AND_DESIGN,Paid,1.99,4.733333333333333,722.0
AUTO_AND_VEHICLES,Free,0.0,4.184722222222223,14140.280487804877
AUTO_AND_VEHICLES,Paid,4.49,4.6,1387.6666666666667
BEAUTY,Free,0.0,4.2785714285714285,7476.226415094339
BOOKS_AND_REFERENCE,Free,0.0,4.348447204968944,86183.0824742268
BOOKS_AND_REFERENCE,Paid,4.277500000000001,4.275,64.14285714285714
BUSINESS,Free,0.0,4.099212598425197,24179.198529411766
BUSINESS,Paid,14.6075,4.077777777777778,2094.3333333333335
COMICS,Free,0.0,4.181481481481482,41822.69642857143
COMMUNICATION,Free,0.0,4.126923076923077,992108.1736111111
COMMUNICATION,Paid,3.0792592592592594,4.0636363636363635,3119.037037037037
DATING,Free,0.0,3.9824427480916036,21951.127272727274
DATING,Paid,4.573333333333333,3.4333333333333336,268.0
EDUCATION,Free,0.0,4.350877192982456,115908.72173913043
EDUCATION,Paid,4.49,4.75,8661.25
ENTERTAINMENT,Free,0.0,4.1259999999999994,347526.41
ENTERTAINMENT,Paid,3.99,4.6,5004.5
EVENTS,Free,0.0,4.435555555555555,2555.84126984127
EVENTS,Paid,109.99,,0.0
FAMILY,Free,0.0,4.168638239339752,85068.51699029126
FAMILY,Paid,13.113989071038253,4.283766233766234,19850.120218579235
FINANCE,Free,0.0,4.128373702422145,38533.256097560974
FINANCE,Paid,170.6370588235294,3.8307692307692305,1364.5882352941176
FOOD_AND_DRINK,Free,0.0,4.168478260869565,57469.37272727273
FOOD_AND_DRINK,Paid,4.24,4.35,1698.5
GAME,Free,0.0,4.236004784688995,707783.1904218928
GAME,Paid,3.4671951219512196,4.372368421052632,19181.10975609756
HEALTH_AND_FITNESS,Free,0.0,4.236051502145923,78078.98168498169
HEALTH_AND_FITNESS,Paid,4.290000000000001,4.390909090909091,3052.866666666667
HOUSE_AND_HOME,Free,0.0,4.15,26079.013513513513
LIBRARIES_AND_DEMO,Free,0.0,4.178125,10925.626506024097
LIBRARIES_AND_DEMO,Paid,0.99,,4.0
LIFESTYLE,Free,0.0,4.083392226148409,33672.14
LIFESTYLE,Paid,124.25631578947367,4.25,2495.8947368421054
MAPS_AND_NAVIGATION,Free,0.0,4.04424778761062,140650.47619047618
MAPS_AND_NAVIGATION,Paid,5.390000000000001,3.8600000000000003,1437.6
MEDICAL,Free,0.0,4.147577092511013,3727.451923076923
MEDICAL,Paid,11.996385542168674,4.234920634920635,241.03614457831324
NEWS_AND_MAGAZINES,Free,0.0,4.114851485148515,91785.82142857143
NEWS_AND_MAGAZINES,Paid,1.9900000000000002,4.800000000000001,100.5
PARENTING,Free,0.0,4.339583333333334,16378.706896551725
PARENTING,Paid,4.79,3.35,4183.0
PERSONALIZATION,Free,0.0,4.3,180508.22711864408
PERSONALIZATION,Paid,1.8577777777777778,4.447692307692308,3619.1728395061727
PHOTOGRAPHY,Free,0.0,4.166129032258064,401664.2709923664
PHOTOGRAPHY,Paid,6.225263157894737,4.013333333333334,6064.789473684211
PRODUCTIVITY,Free,0.0,4.181978798586573,160170.31213872833
PRODUCTIVITY,Paid,8.961785714285714,4.205555555555556,6132.892857142857
SHOPPING,Free,0.0,4.226966292134831,222756.23
SHOPPING,Paid,2.74,4.5,242.0
SOCIAL,Free,0.0,4.25273631840796,965794.7415254237
SOCIAL,Paid,5.323333333333333,3.7,80.66666666666667
SPORTS,Free,0.0,4.212605042016807,116937.4684385382
SPORTS,Paid,4.166666666666667,4.254545454545454,6276.458333333333
TOOLS,Free,0.0,4.027022900763359,305987.5046728972
TOOLS,Paid,3.426282051282051,4.169841269841269,2204.3205128205127
TRAVEL_AND_LOCAL,Free,0.0,4.068156424581006,129476.65700483092
TRAVEL_AND_LOCAL,Paid,4.1625000000000005,4.1,1506.0833333333333
VIDEO_PLAYERS,Free,0.0,4.043055555555556,424347.1761006289
VIDEO_PLAYERS,Paid,2.615,4.1,3341.75
WEATHER,Free,0.0,4.229230769230769,171249.61971830987
WEATHER,Paid,4.0525,4.371428571428572,17055.125
